"idBiblioteca","nome","città","indirizzo","email","telefono"
"asdfg","Biblioteca","Napoli","Via brombeis 42","bibliotecadinapoli@libri.com","3401234567"
"qwert","Biblioteca Comunale","Verona","Via Cavour 12","bibliotecadiverona@studia.com","3402345678"
"zxcvb","Biblioteca bella","Bari","via Giuseppe Garibaldi 7","bibliotecastrabella@bari.com","0459876543"
"idUtenti","idBiblioteca","nome","cognome","CF","dataNascita","residenza","email","telefono"
"cv001","asdfg","Mario","Rossi","RSSMRA80A01F839W","01/01/1980","Napoli","mariorossi@gmail.com","0444435676"
"cv002","asdfg","Banana","Jo","RSSMRA80A01F839W","01/01/1980","Napoli","aa@gmail.com","32"
"cs333","qwert","Albarto","Rossi","aaaa","12-12-1970","Vicenza","aa@gmail.com","45"
"abcde","qwert","Paolo","Violi","PLAVLI80A01F839M","01/01/1980","zsjhgvdfk","sdvasfg","sdfaertg"
"ggggg","zxcvb","Lorenzo","Lorenzini","c23e726rtfyuhsf2","12/02/1998","asdgf","sdfghhjyrt","xcvbnbvfd"
"cd444","zxcvb","Paolo","Maruca","MRCPLA80A01L781L","23-03-1998","verona","paolo@gmail.com","3456656789"
"idLibri","idBiblioteca","titolo","genere","autore","edizione","disponibilita"
"ssd00","asdfg"," L UOMO CHE GUARDA","horror","Mario","a","1"
"aaqww","asdfg","7 NOTTI DI SANGUE","horror","Mario","a","1"
"qqwwe","qwert","743 GIORNI LONTANO DA CASA","comico","Tony","q","1"
"ssdrr","zxcvb","900 CAPOLAVORI DELLA NARRATIVA CONTEMPORANEA","fantasy","Tony","w","1"
"L0000","asdfg","100 ANNI DI MAFIA","Fantasy","Loschiavo Giuseppe","1234567890","1"
"zxxcx","zxcvb","GIOVANE DI BUONE SPERANZE","fantasy","Alfonso","asadew","1"
"L0001","qwert","A CENA COL COMMENDATORE","Giallo","Soldati Mario","123456789","0"
"12345","qwert","MUGLIERA CA PRIMM E SPUSA","horror","Mario","deuhfvcuie","1"
"4567y","qwert","A QUALE TRIBU APPARTIENI LETTERE DAL SAHARA","letterario","Alberta","nfrfnier","1"
"idStorico","idUtenti","idLibri","dataRitiro","dataConsegna"
"S0000","abcde","L0001","01/01/1903",NULL
"123fg","cs333","ssd00","10/01/2010",NULL
"dfgty","cv001","aaqww","12/12/2020","18/12/2020"
"S0002","cv001","ssdrr","12/09/2019","24/09/2019"
"hjkgl","cs333","aaqww","1/10/2019","10/10/2019"
"S0003","ggggg","12345","15/08/2020","31/08/2020"
"S0004","cv001","L0000","07/05/2008","07/08/2011"
"lkasz","cv001","4567y","20/02/2018","23/02/2018"
"S0005","cs333","zxxcx","20/04/2020","03/05/2020"
"bhgvc","abcde","12345","5/04/2018","15/04/2018"
"zsxdc","ggggg","aaqww","3/06/2019","20/06/2019"
"mknjh","ggggg","ssd00","30/05/2019",NULL
"nbvcq","cd444","12345","9/10/2018","17/10/2018"
"S0006","abcde","aaqww","17/02/2019","10/09/2019"
"S0007","abcde","L0001","01/07/2014 ","27/04/2019"
"S0008","abcde","12345","03/06/2015"," 12/10/2015"
"S0009","abcde","4567y","28/11/2012 ","23/08/2015"
